country;iso_code;date;total_vaccinations;people_vaccinated;people_fully_vaccinated;daily_vaccinations_raw;daily_vaccinations;total_vaccinations_per_hundred;people_vaccinated_per_hundred;people_fully_vaccinated_per_hundred;daily_vaccinations_per_million;vaccines;source_name;source_website
Afghanistan;AFG;18/04/2021;;;;;80000;;;;2060;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;19/04/2021;;;;;80000;;;;2060;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;20/04/2021;;;;;80000;;;;2060;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;21/04/2021;;;;;80000;;;;2060;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;22/04/2021;2400000;2400000;;;80000;62;62;;2060;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Albania;ALB;10/01/2021;0;0;;;;0;0;;;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;11/01/2021;;;;;640;;;;220;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;12/01/2021;1280;1280;;;640;0;0;;220;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;13/01/2021;1880;1880;;600;630;1;1;;220;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;14/01/2021;2660;2660;;780;660;1;1;;230;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;15/01/2021;3080;3080;;420;620;1;1;;220;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;16/01/2021;3690;3690;;610;620;1;1;;220;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;17/01/2021;4050;4050;;360;580;1;1;;200;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;18/01/2021;4470;4470;;420;550;2;2;;190;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;19/01/2021;4830;4830;;360;510;2;2;;180;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;20/01/2021;5190;5190;;360;470;2;2;;160;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;21/01/2021;5490;5490;;300;400;2;2;;140;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;22/01/2021;;;;;340;;;;120;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;23/01/2021;;;;;260;;;;90;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;24/01/2021;;;;;210;;;;70;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;25/01/2021;;;;;150;;;;50;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;26/01/2021;;;;;90;;;;30;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;27/01/2021;;;;;40;;;;10;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;28/01/2021;;;;;0;;;;0;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;29/01/2021;;;;;0;;;;0;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;30/01/2021;;;;;0;;;;0;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;31/01/2021;;;;;0;;;;0;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;01/02/2021;;;;;0;;;;0;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;02/02/2021;5500;5490;10;;0;2;2;0;0;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;03/02/2021;;;;;120;;;;40;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;04/02/2021;;;;;240;;;;80;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;05/02/2021;;;;;350;;;;120;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;06/02/2021;;;;;470;;;;160;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;07/02/2021;;;;;590;;;;210;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;08/02/2021;;;;;710;;;;250;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;09/02/2021;11270;6890;4380;;820;4;2;2;280;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;10/02/2021;;;;;810;;;;280;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;11/02/2021;;;;;790;;;;270;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;12/02/2021;;;;;780;;;;270;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;13/02/2021;;;;;760;;;;260;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;14/02/2021;;;;;750;;;;260;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;15/02/2021;;;;;730;;;;250;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;16/02/2021;;;;;720;;;;250;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;17/02/2021;17010;10900;6110;;720;6;4;2;250;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;18/02/2021;30490;24380;6110;13480;2540;11;8;2;880;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;19/02/2021;41770;;;11280;4050;15;;;1410;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;20/02/2021;;;;;5160;;;;1790;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;21/02/2021;;;;;6270;;;;2180;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;22/02/2021;67280;60730;6550;;7390;23;21;2;2570;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;23/02/2021;;;;;8910;;;;3100;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;24/02/2021;;;;;10430;;;;3620;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;25/02/2021;101350;;;;10120;35;;;3520;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;26/02/2021;;;;;10000;;;;3470;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;27/02/2021;;;;;10270;;;;3570;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;28/02/2021;;;;;10540;;;;3660;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;01/03/2021;142950;;;;10810;5;;;3760;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;02/03/2021;;;;;10260;;;;3570;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;03/03/2021;157930;;;;9710;55;;;3370;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;04/03/2021;;;;;9270;;;;3220;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;05/03/2021;;;;;8970;;;;3120;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;06/03/2021;;;;;8670;;;;3010;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;07/03/2021;;;;;8380;;;;2910;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;08/03/2021;;;;;8080;;;;2810;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;09/03/2021;;;;;8200;;;;2850;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;10/03/2021;216130;;;;8310;75;;;2890;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;11/03/2021;;;;;8570;;;;2980;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;12/03/2021;236350;;;;8830;82;;;3070;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;13/03/2021;;;;;10420;;;;3620;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;14/03/2021;;;;;12010;;;;4170;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;15/03/2021;;;;;13610;;;;4730;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;16/03/2021;;;;;15200;;;;5280;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;17/03/2021;333690;;;;16790;116;;;5830;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;18/03/2021;;;;;19600;;;;6810;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;19/03/2021;;;;;22400;;;;7780;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;20/03/2021;;;;;23860;;;;8290;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;21/03/2021;;;;;25330;;;;8800;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;22/03/2021;482290;;;;26790;168;;;9310;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;23/03/2021;516900;;;34610;28950;18;;;10060;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;24/03/2021;539920;;;23020;29460;188;;;10240;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
Albania;ALB;25/03/2021;593480;;;53560;32870;206;;;11420;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V;Ministry of Health;https://twitter.com/gmanastirliu/status/1390377610140700676
